TBId,Phyllotaxie,Division,Forme_limbe,Base,Apex,Nervation,Taille,Marge,Pétiole ,Pilosité,Contraste,Aspect,Toucher
78088,alterne,composé_bipenné,lobé_peu_profond ou lobé_profond ou ovale,en_coin ou arrondie ou cordée ou asymétrique,aigu,pennée,petit ou moyen,dentée,moyen ou long,glabre ou glabre_pubescent,contrasté,mat,papyracé
75203,alterne,composé_trifoliolé,elliptique ou ovale,en_coin ou arrondie,arrondi ou aigu,pennée,moyen,entière,long,glabre ou glabre_pubescent,contrasté,mat,papyracé
37418,alterne,simple,elliptique ou ovale,arrondie ou en_coin,arrondi ou aigu,pennée,moyen,entière,court ou absent,glabre,contrasté,luisant_mat,coriace
38070,alterne,simple,elliptique ou ovale,arrondie ou en_coin,aigu ou arrondi,pennée,moyen ou petit,entière ou ondulée,court,glabre,contrasté,luisant_mat,coriace
38945,opposé,simple,elliptique ou ovale,arrondie,arrondi ou échancré,pennée,petit,entière ou ondulée,court,glabre,identique,mat,papyracé
39501,alterne,simple,lobé_profond ou lobé_peu_profond,tronquée ou cordée,aigu,palmée,moyen ou grand,dentée,long,glabre,contrasté,mat,papyracé
39505,alterne,simple,lobé_profond ou lobé_peu_profond,arrondie,échancré,pennée,moyen ou grand,entière,long,glabre,contrasté,mat,papyracé
39905,opposé,simple,elliptique ou lobé_peu_profond,en_coin,aigu ou arrondi,pennée,moyen,entière ou ondulée,court,glabre,contrasté,mat,papyracé
39920,opposé,simple,elliptique ou ovale,arrondie ou en_coin,arrondi ou aigu,pennée,moyen,entière,court,glabre ou pubescent ou glabre_pubescent,contrasté,mat,papyracé
40664,alterne,simple,elliptique ou ovale ou obovale,en_coin ou arrondie,aigu ou arrondi,pennée,grand,entière,court,glabre_pubescent ou glabre,contrasté,luisant_mat,coriace
40755,alterne,simple,elliptique ou ovale,arrondie ou cordée,aigu ou arrondi,pennée,moyen ou petit,dentée,long ou moyen,glabre_pubescent ou glabre,contrasté,mat ou luisant_mat,papyracé
,alterne,simple,elliptique ou lobé_peu_profond ou lobé_profond,arrondie ou en_coin ou tronquée,aigu,pennée,moyen,dentée ou ondulée,moyen ou long,glabre ou glabre_pubescent,contrasté,mat ou luisant_mat,papyracé
41665,alterne,composé_bipenné,ovale ou elliptique,en_coin ou arrondie ou cordée ou asymétrique,aigu,pennée,moyen,dentée,long ou moyen,glabre,contrasté,mat ou luisant_mat,papyracé
42960,alterne,simple,ovale ou elliptique ou lobé_profond,cordée ou tronquée,aigu,palmée,moyen ou grand,dentée,court,glabre,contrasté,mat,papyracé ou gaufré
42973,alterne,simple,lobé_profond ou lobé_peu_profond ou ovale,cordée ou tronquée,aigu,palmée ou pennée,moyen ou grand,dentée,moyen,glabre,contrasté,luisant_mat,papyracé ou gaufré
42976,alterne,simple,ovale ou elliptique ou lobé_profond,cordée ou tronquée,aigu,palmée,moyen ou grand,dentée,court ou moyen,glabre,contrasté,mat,papyracé ou gaufré
75257,verticillé,simple,oblong ou elliptique,en_coin,aigu,pennée,moyen ou grand,entière,court,glabre,contrasté,mat ou luisant_mat,coriace
44593,opposé,simple,oblong,en_coin,arrondi,pennée,petit ou moyen,entière,court,glabre,contrasté,mat,coriace
47069,alterne,simple,elliptique ou ovale,arrondie ou cordée,aigu,pennée,moyen,dentée,court,glabre,contrasté,luisant_mat,papyracé ou gaufré
47370,alterne,simple,ovale ou elliptique,arrondie ou en_coin,aigu ou arrondi,pennée,moyen,dentée,moyen,glabre,contrasté,luisant_mat,coriace
123961,alterne,simple,obovale ou elliptique,arrondie ou tronquée,aigu,pennée,moyen,dentée ou ondulée,court,glabre,contrasté,luisant_mat,papyracé ou gaufré
48115,opposé,simple,obovale,cordée,aigu,pennée ou palmée,grand,dentée ou entière ou ondulée,long,pubescent,contrasté,mat,papyracé
83469,alterne,simple,elliptique,en_coin,aigu,pennée,moyen,entière ou ondulée,court,glabre,contrasté,luisant_mat,papyracé
48852,opposé,simple,oblong ou elliptique,en_coin,aigu,pennée ou uninervée,moyen,entière ou dentée,court,glabre,contrasté,luisant_mat ou mat,coriace
48861,opposé,simple,ovale ou elliptique,arrondie ou cordée ou en_coin,aigu,pennée,moyen,dentée,court,glabre,contrasté,luisant_mat ou mat,coriace
118977,alterne,simple,obovale ou elliptique,en_coin,aigu ou arrondi,pennée,moyen ou grand,dentée,court,glabre,contrasté,luisant_mat,coriace
49751,alterne,composé_penné,elliptique,en_coin,aigu,pennée,petit ou moyen,entière ou dentée,moyen,glabre,contrasté,luisant_mat,coriace
75291,alterne,composé_penné,ovale ou elliptique,en_coin,aigu ou arrondi,pennée,moyen ou petit,entière,moyen,glabre,contrasté,luisant_mat,coriace
120939,alterne,simple,elliptique ou ovale,en_coin ou arrondie,arrondi,pennée,petit ou moyen,ondulée ou entière,court,glabre,contrasté,luisant_mat,coriace ou papyracé
49807,alterne,simple,obovale,en_coin,arrondi ou aigu,pennée,moyen,entière,court,glabre,contrasté,luisant_mat,coriace
50147,alterne,simple,lobé_profond,cordée ou tronquée ou en_coin,aigu,palmée,grand,dentée,long,glabre ou glabre_pubescent,contrasté,mat,papyracé
82353,alterne,simple,lobé_profond,cordée ou tronquée ou en_coin,aigu,palmée,grand,dentée,long,glabre ou glabre_pubescent,contrasté,mat,papyracé
50152,alterne,simple,lobé_profond,cordée ou tronquée ou en_coin,aigu,palmée,grand,dentée,long,glabre ou glabre_pubescent,contrasté,mat,papyracé
51965,alterne,simple,deltoide ou lobé_peu_profond ou lobé_profond,arrondie ou tronquée,aigu ou arrondi,pennée ou palmée,moyen,dentée ou ondulée,long,glabre_pubescent ou pubescent,contrasté,mat ou luisant_mat,papyracé
52030,alterne,simple,triangulaire ou deltoide,tronquée ou arrondie,aigu,pennée,moyen ou grand,dentée,long,glabre,contrasté,mat,papyracé
52056,alterne,simple,circulaire ou triangulaire ou lobée_peu_profond,tronquée ou arrondie,aigu ou arrondi,pennée,moyen,dentée ou ondulée,long,glabre ou glabre_pubescent,contrasté,mat,papyracé
